name,youtube_video_id,width,height,frame_rate,first_frame,last_frame
-0Qw1A50s_s_0,-0Qw1A50s_s,640,360,30.000000,72242,74730
-MwQm7gHFpU_0,-MwQm7gHFpU,1280,720,30.000000,660,1889
0V2assf0ysM_0,0V2assf0ysM,406,720,29.833333,4092,5787
17IpRUb5Gz4_0,17IpRUb5Gz4,640,360,30.000000,4291,5670
3GHuGGv5tmE_0,3GHuGGv5tmE,426,240,30.000000,421,1110
3GHuGGv5tmE_2,3GHuGGv5tmE,426,240,30.000000,5252,7050
3GHuGGv5tmE_3,3GHuGGv5tmE,426,240,30.000000,7845,8041
3GHuGGv5tmE_4,3GHuGGv5tmE,426,240,30.000000,9035,9989
3SsD3Zqtk_A_11,3SsD3Zqtk_A,640,360,30.000000,124070,124560
5nCIZCdkOaY_0,5nCIZCdkOaY,1280,720,30.000000,56821,58110
5nCIZCdkOaY_1,5nCIZCdkOaY,1280,720,30.000000,56599,58020
6-Jx5iEqNwM_0,6-Jx5iEqNwM,1280,720,30.000000,28561,29941
7I5t6BAHSGQ_0,7I5t6BAHSGQ,202,360,30.000000,391,1482
8C0mGT8EQ-s_0,8C0mGT8EQ-s,640,360,30.000000,1233,2640
D6p4OZcVHMY_0,D6p4OZcVHMY,640,360,30.000000,14720,15870
DOY4PsSyUqE_0,DOY4PsSyUqE,1280,720,30.000000,31,899
Dced7qJuw5M_0,Dced7qJuw5M,640,360,30.000000,5196,6000
Dr4n6qlCFVE_0,Dr4n6qlCFVE,640,360,30.000000,29029,30600
GXzt0k4CEAY_0,GXzt0k4CEAY,640,360,30.000000,13737,14670
H0lp_DSqJTs_0,H0lp_DSqJTs,640,360,30.000000,4450,5370
IQwR8WZ4xBI_0,IQwR8WZ4xBI,640,358,30.000000,5254,6060
KDiAjMmDhUk_0,KDiAjMmDhUk,640,360,30.000000,74,450
KMLGclmZSrQ_0,KMLGclmZSrQ,406,720,30.000000,391,990
KMLGclmZSrQ_1,KMLGclmZSrQ,406,720,30.000000,6568,7140
KMLGclmZSrQ_2,KMLGclmZSrQ,406,720,30.000000,7649,8191
LRF2uRYi_Uc_0,LRF2uRYi_Uc,1280,720,30.000000,37351,38100
MC8JMr9UaQU_0,MC8JMr9UaQU,1280,720,30.000000,1321,3270
N0IW25Fmxdc_0,N0IW25Fmxdc,640,360,30.000000,71191,72000
N0IW25Fmxdc_1,N0IW25Fmxdc,640,360,30.000000,82359,83190
N0IW25Fmxdc_3,N0IW25Fmxdc,640,360,30.000000,83941,84510
N0IW25Fmxdc_4,N0IW25Fmxdc,640,360,30.000000,89941,90510
NDNZs9bUZA4_0,NDNZs9bUZA4,1280,720,30.000000,7111,8520
NDNZs9bUZA4_1,NDNZs9bUZA4,1280,720,30.000000,10708,11370
NTQen78_lBU_1,NTQen78_lBU,640,360,30.000000,5689,6060
NTQen78_lBU_3,NTQen78_lBU,640,360,30.000000,7202,8100
QZZ9itXyS-k_0,QZZ9itXyS-k,640,360,30.000000,31,660
Qhnu7wRXAxU_0,Qhnu7wRXAxU,1280,720,30.000000,26802,28500
SZl1J2AZ7Ew_0,SZl1J2AZ7Ew,640,360,29.412005,36266,41125
Ss4sWrRPChE_0,Ss4sWrRPChE,406,720,30.000000,50209,51030
TD6Y0msS7v0_0,TD6Y0msS7v0,1280,720,30.000000,17410,19231
TD6Y0msS7v0_1,TD6Y0msS7v0,1280,720,30.000000,17410,19231
U-FP7UU8C58_0,U-FP7UU8C58,640,360,30.000000,1974,3600
UaSUTyq_raA_0,UaSUTyq_raA,1280,720,30.000000,3,900
WIJpl3pVtSM_0,WIJpl3pVtSM,640,360,27.798719,7651,9086
ZkB2inY2NOQ_0,ZkB2inY2NOQ,1280,720,29.757019,9165,11268
avrkR99jYv8_0,avrkR99jYv8,640,360,30.000000,541,1590
avrkR99jYv8_1,avrkR99jYv8,640,360,30.000000,10411,10800
avrkR99jYv8_2,avrkR99jYv8,640,360,30.000000,44221,45000
bMcBxoJwy9g_0,bMcBxoJwy9g,1280,720,30.000000,7531,8460
cHt0LHrp2iQ_0,cHt0LHrp2iQ,640,360,30.000000,38251,39900
e7_eB4LKtCo_0,e7_eB4LKtCo,404,720,15.000000,15,914
etuo7N6gSqw_0,etuo7N6gSqw,1280,720,29.398015,1446,3236
fNUl-W9fenM_1,fNUl-W9fenM,1280,720,30.000000,10803,11700
fugGRBzENYg_0,fugGRBzENYg,640,360,30.000000,2491,4050
fugGRBzENYg_1,fugGRBzENYg,640,360,30.000000,9770,10740
h0AAQ5CXnRY_0,h0AAQ5CXnRY,640,360,30.000000,100114,100770
hsRlJ_3xZUk_0,hsRlJ_3xZUk,640,360,30.000000,44,1260
iqTE7Oby-eA_0,iqTE7Oby-eA,640,360,30.000000,11330,12000
k6HaNr1S40o_0,k6HaNr1S40o,640,360,30.000000,135909,136800
k6HaNr1S40o_1,k6HaNr1S40o,640,360,30.000000,33151,36240
k6HaNr1S40o_2,k6HaNr1S40o,640,360,30.000000,43111,44790
mKBdy3B2dk4_0,mKBdy3B2dk4,640,360,30.000000,8671,10530
mld--8_bTv4_0,mld--8_bTv4,1280,720,30.000000,569,1050
mld--8_bTv4_1,mld--8_bTv4,1280,720,30.000000,32652,33240
npyJw6m-Ws4_0,npyJw6m-Ws4,1280,720,29.737997,19489,21004
og1_BYkOnNI_0,og1_BYkOnNI,640,360,30.000000,5911,8070
q5yx1ezV-Zo_0,q5yx1ezV-Zo,1280,720,30.000000,34505,35040
qJKb80IVuTQ_0,qJKb80IVuTQ,640,360,30.000000,961,2550
qR6SFBB2BMM_0,qR6SFBB2BMM,640,360,30.000000,75009,76380
qR6SFBB2BMM_2,qR6SFBB2BMM,640,360,30.000000,133804,135090
qR6SFBB2BMM_3,qR6SFBB2BMM,640,360,30.000000,159547,160380
qR6SFBB2BMM_4,qR6SFBB2BMM,640,360,30.000000,391920,392730
r5I32fxPCEM_0,r5I32fxPCEM,640,360,30.000000,14472,15210
szJLTMmPJ-k_0,szJLTMmPJ-k,640,360,30.000000,2431,3818
szJLTMmPJ-k_1,szJLTMmPJ-k,640,360,30.000000,8911,10080
u5H1C3eKQRQ_0,u5H1C3eKQRQ,640,360,30.000000,751,2400
uIdug5IkkaQ_0,uIdug5IkkaQ,640,360,30.000000,22201,24630
xjY_LXWPnLw_0,xjY_LXWPnLw,406,720,30.000000,45814,47190
yIaBgAi-qE8_0,yIaBgAi-qE8,1280,720,30.000000,55111,55800
yW4noWcVLQ8_0,yW4noWcVLQ8,426,240,30.000000,8486,9300
